GI_ID,Latitude,Longitude,DEP_Contra,Asset_ID,DEP_Cont_1,Project_Ty,Row_Onsite,Project_Na,Asset_Type,Status,Asset_X_Co,Asset_Y_Co,Borough,Sewer_Type,Outfall,Waterbody,Street_Add,Nearest_In,BBL,Secondary,Community,City_Counc,Assembly_D,Asset_Leng,Asset_Widt,Asset_Area,GI_Feature,Tree_Latin,Tree_Commo,Constructi,Construc_1,Status_Gro
MMPP-11SRa,-73.8615727671043,40.8467431990937,GXHP07-03-OS5,97770,2,Onsite,Onsite,Matthews Muliner Playground,Subsurface Storage,100% Design Accepted,1022548.7151,247799.0731,Bronx,Combined,HP-007,Bronx River,,,2040550024,,211,13,80,28.19,16.09,398,,,,,,Final Design
1203d,-73.8872903828922,40.6756329095761,GK26W5-04,99267,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015513.63,185447.81,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039820011,,305,37,55,14,4.5,63,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1232a,-73.8926676598352,40.6747825869829,GK26W4-01,99294,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014022.45,185136.14,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037080011,,305,37,55,10,4.5,45,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1258a,-73.8922449889804,40.6726913302956,GK26W4-01,99352,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014140.63,184374.38,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037240029,,305,37,55,10,5,50,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1278a,-73.886813443837,40.6734115596981,GK26W5-04,99393,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1015646.97,184638.68,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3039970130,,305,37,55,13,6,78,Type C - SW Chamber,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1308b,-73.8900634931116,40.6719352484932,GK26W5-04,99441,1,Area-Wide,ROW,EDC 26W-005 Phase 1,ROWB,100% Design Accepted,1014746.11,184099.67,Brooklyn,Combined,26W-005,Jamaica Bay and Tributaries,,,3040100007,,305,37,55,13,4,52,Type D,Maackia amurensis,Amur Maackia,GK26W4-01_GK26W5-04,2,Final Design
1313c,-73.8917781162778,40.6713089512732,GK26W4-01,99445,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014270.76,183870.9,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037420001,,305,37,55,12,6,72,Type A - Stone Columns,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1314c,-73.8920718292936,40.6720085142912,GK26W4-01,99453,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014188.97,184125.67,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037410029,3037410028,305,37,55,15,5,75,Standard,Syringa reticulata,Japanese Tree Lilac,GK26W4-01_GK26W5-04,2,Final Design
GS1317b,-73.8927090153205,40.6712387059763,GK26W4-01,99460,1,Area-Wide,ROW,EDC 26W-004,ROWGS,100% Design Accepted,1014012.56,183844.99,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3037410001,,305,37,55,10,3.5,35,,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
1398d,-73.8903069580267,40.6692906946956,GK26W4-01,99652,1,Area-Wide,ROW,EDC 26W-004,ROWB,100% Design Accepted,1014679.78,183136.1,Brooklyn,Combined,26W-004,Jamaica Bay and Tributaries,,,3040410013,,305,42,60,11,6,66,Standard,No Tree,N/A,GK26W4-01_GK26W5-04,2,Final Design
